created_at,field1,field2,field3
2025-05-01 00:00:00+00:00,555.0,17.0,20.0
2025-05-01 01:00:00+00:00,557.0,17.2,20.2
2025-05-01 02:00:00+00:00,559.0,17.4,20.4
2025-05-01 03:00:00+00:00,561.0,17.6,20.6
2025-05-01 04:00:00+00:00,563.0,17.8,20.8
2025-05-01 05:00:00+00:00,565.0,18.0,21.0
2025-05-01 06:00:00+00:00,567.0,18.2,21.2
2025-05-01 07:00:00+00:00,569.0,18.4,21.4
2025-01-08 00:00:00+00:00,570.0,17.0,20.0
2025-01-08 01:00:00+00:00,572.0,17.2,20.2
2025-01-08 02:00:00+00:00,574.0,17.4,20.4
2025-01-08 03:00:00+00:00,576.0,17.6,20.6
2025-01-08 04:00:00+00:00,578.0,17.8,20.8
2025-01-08 05:00:00+00:00,580.0,18.0,21.0
2025-01-08 06:00:00+00:00,582.0,18.2,21.2
2025-01-08 07:00:00+00:00,584.0,18.4,21.4
