created_at,Pi1_CO2,Pi1_CH4,Pi1_NH3,Pi2_CO2,Pi2_CH4,Pi2_NH3
2025-11-20 09:53:58+00:00,0,0,0,2008.0,69.0,206.0
2025-11-20 09:54:58+00:00,0,0,0,1983.24,67.97,202.91
2025-11-20 09:55:59+00:00,0,0,0,1972.54,67.52,201.57
2025-11-20 09:56:59+00:00,0,0,0,1985.18,68.05,203.15
2025-11-20 09:57:59+00:00,0,0,0,1974.99,67.62,201.87
2025-11-20 09:59:00+00:00,0,0,0,1962.02,67.08,200.25
2025-11-20 10:00:00+00:00,0,0,0,1943.91,66.33,197.99
2025-11-20 10:01:01+00:00,0,0,0,1944.75,66.36,198.09
2025-11-20 10:02:02+00:00,0,0,0,1950.47,66.6,198.81
2025-11-20 10:03:02+00:00,0,0,0,1940.45,66.19,197.56
2025-11-20 10:04:02+00:00,0,0,0,1942.48,66.27,197.81
2025-11-20 10:05:02+00:00,0,0,0,1946.78,66.45,198.35
2025-11-20 10:06:03+00:00,0,0,0,1950.14,66.59,198.77
2025-11-20 10:07:03+00:00,0,0,0,1950.14,66.59,198.77
2025-11-20 10:08:03+00:00,0,0,0,1934.22,65.93,196.78
2025-11-20 10:09:04+00:00,0,0,0,1933.2,65.88,196.65
2025-11-20 10:10:04+00:00,0,0,0,1939.11,66.13,197.39
2025-11-20 10:11:04+00:00,0,0,0,1931.52,65.81,196.44
2025-11-20 10:12:05+00:00,0,0,0,1929.93,65.75,196.24
2025-11-20 10:13:05+00:00,0,0,0,1920.06,65.34,195.01
2025-11-20 10:14:05+00:00,0,0,0,1918.05,65.25,194.76
2025-11-20 10:15:06+00:00,0,0,0,1928.07,65.67,196.01
2025-11-20 10:16:06+00:00,0,0,0,1930.43,65.77,196.3
2025-11-20 10:17:06+00:00,0,0,0,1935.99,66.0,197.0
2025-11-20 10:18:06+00:00,0,0,0,1940.96,66.21,197.62
2025-11-20 10:19:07+00:00,0,0,0,1952.58,66.69,199.07
2025-11-20 10:20:07+00:00,0,0,0,1945.84,66.41,198.23
2025-11-20 10:21:07+00:00,0,0,0,1949.21,66.55,198.65
2025-11-20 10:22:08+00:00,0,0,0,1962.86,67.12,200.36
2025-11-20 10:23:08+00:00,0,0,0,1961.26,67.05,200.16
2025-11-20 10:24:08+00:00,0,0,0,1966.82,67.28,200.85
2025-11-20 10:25:09+00:00,0,0,0,1973.22,67.55,201.65
2025-11-20 10:26:09+00:00,0,0,0,1964.88,67.2,200.61
2025-11-20 10:27:09+00:00,0,0,0,1968.84,67.37,201.11
2025-11-20 10:28:10+00:00,0,0,0,1987.79,68.16,203.47
2025-11-20 10:29:10+00:00,0,0,0,1966.06,67.25,200.76
2025-11-20 10:30:10+00:00,0,0,0,1993.94,68.41,204.24
2025-11-20 10:31:10+00:00,0,0,0,1973.22,67.55,201.65
2025-11-20 10:32:11+00:00,0,0,0,1968.08,67.34,201.01
2025-11-20 10:33:11+00:00,0,0,0,1972.37,67.52,201.55
2025-11-20 10:34:11+00:00,0,0,0,1971.36,67.47,201.42
2025-11-20 10:35:12+00:00,0,0,0,1966.14,67.26,200.77
2025-11-20 10:36:12+00:00,0,0,0,1953.68,66.74,199.21
2025-11-20 10:37:12+00:00,0,0,0,1942.31,66.26,197.79
2025-11-20 10:38:13+00:00,0,0,0,1938.69,66.11,197.34
2025-11-20 10:39:13+00:00,0,0,0,1953.68,66.74,199.21
2025-11-20 10:40:13+00:00,0,0,0,1966.06,67.25,200.76
2025-11-20 10:41:14+00:00,0,0,0,1949.63,66.57,198.7
2025-11-20 10:42:14+00:00,0,0,0,1962.94,67.12,200.37
2025-11-20 10:43:14+00:00,0,0,0,1975.32,67.64,201.92
2025-11-20 10:44:14+00:00,0,0,0,1989.98,68.25,203.75
2025-11-20 10:45:15+00:00,0,0,0,1987.54,68.15,203.44
2025-11-20 10:46:15+00:00,0,0,0,2008.68,69.03,206.09
2025-11-20 10:47:15+00:00,0,0,0,2006.57,68.94,205.82
2025-11-20 10:48:16+00:00,0,0,0,2007.92,69.0,205.99
2025-11-20 10:49:16+00:00,0,0,0,2017.53,69.4,207.19
2025-11-20 10:50:16+00:00,0,0,0,2020.13,69.51,207.52
